DK,EN1,EN2,FR1,FR2,FR3,FR4,FR7,GE,GE1,GR,IR,IT1,IT2,NL,SB,SP2,SP4,SP5,SP6,TK1,TK2,TK3
0.46417268,0.40716721,0.39882054,0.488531676,0.472475789,0.490882828,0.448024694,0.473376284,0.445130336,0.492476454,0.587786628,0.452090921,0.484769287,0.4222722,0.500530188,0.347645515,0.474000179,0.464888499,0.482426119,0.456758374,0.681718442,0.620309817,0.569768123
0.405816021,0.350023943,0.375604278,0.365222969,0.430466383,0.408706197,0.372675262,0.392884618,0.395558758,0.460273316,0.452090921,0.354303932,0.399807359,0.375115513,0.416241898,0.32089054,0.377207158,0.376487316,0.404872665,0.39591087,0.575540085,0.525250113,0.524612678
0.410517015,0.390952292,0.38538437,0.411496184,0.448538754,0.440023294,0.413963373,0.426971286,0.417978031,0.480233675,0.484769287,0.399807359,0.389406009,0.386961218,0.424842267,0.363306598,0.408835002,0.42108009,0.45572204,0.431838183,0.596333688,0.550039998,0.545557503
0.405465083,0.357863404,0.360704192,0.381126016,0.42080853,0.413685915,0.392668522,0.402439362,0.393243772,0.455835439,0.4222722,0.375115513,0.386961218,0.383486177,0.419948547,0.321766069,0.384601626,0.393401391,0.418637883,0.405020737,0.597488713,0.543961151,0.538707908
0.429751429,0.408169817,0.415119378,0.432248539,0.47461358,0.466089701,0.43085145,0.448257225,0.436598324,0.501807781,0.500530188,0.416241898,0.424842267,0.419948547,0.457916125,0.383303512,0.432343968,0.442492123,0.466089701,0.447717836,0.607037682,0.561316544,0.556723327
0.373403152,0.299521653,0.323226989,0.346668953,0.378495203,0.371382541,0.335462624,0.351397865,0.345400846,0.381934587,0.347645515,0.32089054,0.363306598,0.321766069,0.383303512,0.258140377,0.343907193,0.334423034,0.371140342,0.345849377,0.492028726,0.404513155,0.416346582
0.422478081,0.373452053,0.390029275,0.383050036,0.439923489,0.421639571,0.40168436,0.417712792,0.412268802,0.467876609,0.474000179,0.377207158,0.408835002,0.384601626,0.432343968,0.343907193,0.402096942,0.397932707,0.427355356,0.416119934,0.581089388,0.530582635,0.54044051
0.433936755,0.374804432,0.396276657,0.388442455,0.446564099,0.42568615,0.399017383,0.414989707,0.417295469,0.468834692,0.464888499,0.376487316,0.42108009,0.393401391,0.442492123,0.334423034,0.397932707,0.403543852,0.430213251,0.418212655,0.578072689,0.525173039,0.530045637
0.453378435,0.398084976,0.418287682,0.417208485,0.47181594,0.460698961,0.426303598,0.447058977,0.441719333,0.504994672,0.482426119,0.404872665,0.45572204,0.418637883,0.466089701,0.371140342,0.427355356,0.430213251,0.45004694,0.44405192,0.609162905,0.574015225,0.578736793
0.436648008,0.387397988,0.406265403,0.417713704,0.458188896,0.446408914,0.412382894,0.429281815,0.424398753,0.482384014,0.456758374,0.39591087,0.431838183,0.405020737,0.447717836,0.345849377,0.416119934,0.418212655,0.44405192,0.435854159,0.594568191,0.53557376,0.535539247
